,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Former name,Parent institution,Vice-president,Address,Undergraduates,Postgraduates,Doctoral students,Colors,Nobel Laureates,Other students,Former names,Other name,Language,Professors,Mascot,Dean,Director,Alumni,Nobel laureates,Athletics,Chairperson,Founder,Academic affiliation,Affiliation,Endowment,Latitude,Longitude
22,/wiki/University_of_D%C3%BCsseldorf,,,Public,1965,€ 310 million [1],Anja Steinbeck  [ de ],"3,534 [1]","1,182 [1]","32,069 [1]","Düsseldorf ,  North Rhine-Westphalia ,  Germany",,www.uni-duesseldorf.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42793,6.83081
23,/wiki/Catholic_University_of_Eichst%C3%A4tt-Ingolstadt,,,catholic,1980 (as university),,,,,,"Eichstätt  &  Ingolstadt ,  Bavaria ,  Germany",,www.ku.de,,Gabriele Gien,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.76588565,11.4158383
24,/wiki/University_of_Erfurt,,,Public,1379  (closed 1816–1993),€ 59.5 million [1],,358 [1],287 [1],"5,715 [2]","Erfurt ,  Thuringia ,  Germany",,www.uni-erfurt.de,,Walter Bauer-Wabnegg,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9777974,11.0287364
25,/wiki/University_of_Erlangen-Nuremberg,,,Public,"1742 (first)  November 4, 1743  ( 1743-11-04 )  (moved)  [1] [2]",€ 543.1 million [3] [4],,"4,036 [6]","2,320 [6]","38,771 [7]","Erlangen  and  Nuremberg ,  Bavaria ,  Germany","Domestic:  1.  Bavarian State Ministry for Science, Research and Art   2.  DFG 3.  Excellence Universities International: 1. Top Industrial Managers for Europe 2.  SEFI",fau.eu,Christian Zens [5],Joachim Hornegger [5],Urban,,,,Prof. Dr. Bärbel Kopp (Vice President for Education) Prof. Dr. Günter Leugering (Vice President for Research) Prof. Dr. Kathrin M. Möslein (Vice President for Outreach) Prof. Dr. Friedrich Paulsen (Vice President for People) [5],,,,,       Blue,,,Friedrich-Alexander-Universität Erlangen,,,,,,,,,,,,,,,49.45832195,11.08546
26,/wiki/University_of_Duisburg-Essen,Offen im Denken,Open-minded,Public,"1654, re-established on 1 January 2003",€483 million [1],Ulrich Radtke  [ de ],"4,062 [1]","1,581 [1]","43,043 (2017) [2]","Duisburg  and  Essen ,  North Rhine-Westphalia ,  (Germany)","Aurora , UAMR – University Alliance Metropolis Ruhr, [3]   DAAD ,  DFG ,  IRUN",www.uni-due.de,Rainer Ambrosy,,Urban/Suburban,Blue and white,,,,,,,,,,,,,,,,,,,,,,,,,,51.4428173,6.707225052
27,/wiki/University_of_Flensburg,,,Public,1994,€ 27.7 million [1],,346 [1],133 [1],"5,333 [1]","Flensburg ,  Schleswig-Holstein ,  Germany",,www.uni-flensburg.de,,Werner Reinhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7833021,9.4333264
28,/wiki/Goethe_University_Frankfurt,,,Public,18 October 1914  ( 1914-10-18 ) [1],€  644.6 Mio.  (2018) [2],,"3,055.97  ( FTE , 2018) [2]","2,038.56  ( FTE , 2018) [2]","46,961  (2018) [6]","Campus Westend: Theodor-W.-Adorno-Platz 1 ,  Frankfurt am Main ,  Hesse ,  60323 ,  Germany",,www.goethe-university-frankfurt.de,Albrecht Fester [3],Birgitta Wolff [4],multiple sites,,Königliche Universität zu Frankfurt am Main [1],,"Simone Fulda ,  Rolf van Dick ,  Roger Erb ,  Manfred Schubert-Zsilavecz [5]","Campus Westend: Theodor-W.-Adorno-Platz 1 ,  Frankfurt am Main ,  Hesse ,  60323 ,  Germany 50°7′40″N   8°40′00″E ﻿ / ﻿ 50.12778°N 8.66667°E ﻿ /  50.12778; 8.66667 Coordinates :  50°7′40″N   8°40′00″E ﻿ / ﻿ 50.12778°N 8.66667°E ﻿ /  50.12778; 8.66667","21,864  (2018) [6]","6,910  (2018) [6]","1,817  (2018) [6]",,,"6,256 ( teacher education )  (2018) [6]",,,German,,,,,,,,,,,,,50.12772,8.66888
29,/wiki/Viadrina_University,Ex oriente lux,Light from the east,Public,"1506, closed 1811, refounded 1991",,,579 [1],,"6,647 [1]","Frankfurt (Oder) ,  Brandenburg ,  Germany",,www.europa-uni.de,,Alexander Wöll,"Urban , several locations",,,,,,,,,,,,,,,,,,,,,,,,,,,52.32518245,14.49277685
30,/wiki/Freiberg_University_of_Mining_and_Technology,The University of Resources. Since 1765.,,,1765,,,,,4294 (WS 2017/18) [1],"Freiberg , Baden-Württemberg ,  Saxony",,tu-freiberg.de,p.p. Jens Then,Prof. Klaus-Dieter Barbknecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9169415,13.3428889
31,/wiki/Zeppelin_University,"""Bridging Business, Culture and Politics""",,Private  –  Research,Jun-03,,,,224 (2018),"1,060 (2018)","Friedrichshafen ,  Baden-Württemberg ,  Germany",,www.zeppelin-university.com,,Prof. Dr. Insa Sjurts,"Lake Campus ,  FN ZF Campus , FN",,,,,,,,,,,,,,,28 (2019),,,,,,,,,,,,47.6505715,9.4797531
