,University_Id,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Undergraduates,Postgraduates,Doctoral students,Latitude,Longitude,Other_Heads,State
55,U0056,University of Leipzig,Aus Tradition Grenzen überschreiten (German),A tradition of crossing boundaries,Public research university,2 December 1409,408.9,Beate Schücking,3234,1962,29459,"Leipzig ,  Saxony ,  Germany",Utrecht Network,www.uni-leipzig.de,,,Urban,Red Light Blue,,,,51.3406321,12.3747329,,Saxony
56,U0057,University of L%C3%BCbeck,Im Focus das Leben  ( German ),Focus on Life,Public,1964,113.3,,2154,310,4945,"Lübeck ,  Schleswig-Holstein ,  Germany",,www.uni-luebeck.de,,Gabriele Gillessen-Kaesbach [2],,Ocean green  White 4,,,,53.866444,10.684738,,Schleswig-Holstein
57,U0058,University of L%C3%BCneburg,,,Public,1946,103.2,,710,450,9076,"Lüneburg ,  Lower Saxony ,  Germany",,www.leuphana.de,,Sascha Spoun,,,,,,53.248706,10.407855,,Lower Saxony
58,U0059,University of Magdeburg,,,Public,1993,199.1,Jens Strackeljan,1770,1009,14181,"Magdeburg ,  Saxony-Anhalt ,  Germany",,www .ovgu .de /unimagdeburg /en /,Jörg Wadzack,,,Purple,,,,52.1315889,11.6399609,,Saxony-Anhalt
59,U0060,University of Mainz,Ut omnes unum sint German:  Dass alle eins seien,That they all may be one,Public,1477 (University of Mainz)  Re-opened  1946 (Johannes Gutenberg University Mainz),504,,4353,7825,32630,"Mainz ,  Rhineland-Palatinate ,  Germany",,www.uni-mainz.de,,Georg Krausch  [ de ],,Red,,,,50.0012314,8.2762513,,Rhineland-Palatinate
60,U0061,University of Mannheim,In Omnibus Veritas Suprema Lex Esto  ( Latin ),Truth in everything should be the supreme law,Public,1967,123,Thomas Puhl,907,617,12001,"Mannheim ,  Baden-Württemberg ,  Germany",AACSB ;  AMBA ;  CFA Institute ;  Council on Business & Society ;  DFG ;  EQUIS ;  ENTER ;  German Universities Excellence Initiative ;  IAU ;  IBEA,www.uni-mannheim.de,Barbara Windscheid,,"Urban ( Mannheim Palace ), 74 acres (0.3 km²) [3]",Mannheim Blue  White,7173,4828,793,49.489591,8.467236,,Baden-Württemberg
61,U0062,University of Marburg,,,Public,"July 1, 1527",335.6,,2657,1794,26726,"Marburg ,  Hesse ,  Germany",Compostela Group of Universities,www.uni-marburg.de,Friedhelm Nonne,Katharina Krause  [ de ],University town,,,,,50.8117327,8.7757742,,Hesse
62,U0063,Technical University of Munich,Die unternehmerische Universität,The entrepreneurial university,Public,1868  ( 1868 ),937.6,,6854,3249,41000,"Arcisstraße 21 ,  Munich ,  Bavaria ,  80333 ,  Germany",ATHENS EAIE EUA Eurotech GUEI TIME TU9,www .tum .de,,Thomas F. Hofmann,Urban,Blue,,,,48.14955455,11.56775314,Ludwig II of Bavaria,Bavaria
63,U0064,Ludwig Maximilian University of Munich,,,Public,1472 (as  University of Ingolstadt  until 1802),682,Bernd Huber  [ de ],6017,8066,51025,"Munich ,  Bavaria ,  Germany",German Excellence Universities Europaeum LERU,www.en.uni-muenchen.de,,,,Green  White,,,,48.1371079,11.5753822,,Bavaria
64,U0065,Bundeswehr University Munich,,,Public,1973,,,586,,3000,"Neubiberg  (Munich) ,  Bavaria ,  Germany",IAMP,www.unibw.de,,Merith Niehuss  [ de ],Sub-urban 140 hectares (350 acres) [2],,,,,48.0764239,11.6639514,,Bavaria
